mes_año,aguascalientes,baja california,baja california sur,campeche,chiapas,chihuahua,ciudad de méxico,coahuila,colima,durango,estado de méxico,guanajuato,guerrero,hidalgo,jalisco,michoacán,morelos,méxico,nayarit,nuevo león,oaxaca,puebla,querétaro,quintana roo,san luis potosí,sinaloa,sonora,tabasco,tamaulipas,tlaxcala,veracruz,yucatán,zacatecas
2021-01-01,18371,55577,19658,15409,31791,39268,355886,40734,9116,17608,26,67190,26429,82251,166314,29422,59113,191799,10959,183454,28024,82033,61671,75298,28179,53045,70420,37673,56326,9562,84917,58820,10386
2021-02-01,14781,59077,17138,12481,24249,40790,302952,36133,7861,16037,23,52559,23367,65974,135666,25064,52541,155566,8871,169588,21296,82819,49079,62702,27371,42343,55478,32075,47596,8399,80006,50908,9441
2021-03-01,15841,47870,15942,12652,27140,28185,316269,37374,7878,14055,31,56008,22936,63086,141088,28916,55806,161196,9548,166420,23055,71415,52720,67991,29515,45588,60023,34448,48392,10113,78446,51615,10783
2021-04-01,16367,47852,17444,12595,22191,30365,312605,35732,8565,13706,43,54410,20980,61341,134607,21720,55393,151110,9366,164453,20829,72649,49396,68279,26894,45039,57578,32958,46562,7734,75833,53345,9433
2021-05-01,16224,48346,17297,12224,22510,27947,327022,38825,7059,16560,33,51604,20460,65389,152785,20813,56354,152204,10423,187954,22431,75044,50334,75685,28110,41326,57906,33759,44322,9588,72605,52383,9607
2021-06-01,14490,43475,16781,11023,20466,28340,312524,34106,7973,16702,33,57054,17313,60402,137130,20095,49871,143304,9225,162515,20703,63479,45192,68084,25595,39545,59689,33954,41571,6776,69827,49505,8054
2021-07-01,14894,44091,17705,11322,20899,28956,308508,35340,7321,16237,33,53531,17722,60100,134958,21390,46647,140277,10293,164425,20807,68287,44746,64264,26111,42071,54832,32785,38907,7189,74448,45706,9564
2021-08-01,17276,44452,18355,11062,21368,27490,304214,40039,6857,13613,38,54143,20611,60374,142409,23090,50866,145105,8533,174311,20457,67802,49437,67396,26783,42267,58072,33910,43177,7420,72923,52789,8852
2021-09-01,15777,40688,15787,9310,22249,24064,289301,35089,5745,11333,61,48784,20495,59011,125324,19230,47468,134668,8184,154394,19190,61338,47035,61212,26470,35907,50243,32897,38464,6117,64884,43673,7523
2021-10-01,16783,39599,16743,9646,21687,25940,288470,39105,6025,12342,88,52461,17156,61482,130839,18366,47663,129487,9417,162781,22528,63591,49349,64196,26203,35920,54941,31021,42333,6299,67203,44710,9936
2021-11-01,13455,34132,13505,9736,18481,24528,267168,32741,5213,11097,59,42952,14404,52152,115502,18597,40273,119539,8538,146199,20500,61568,46402,61902,23705,29348,45687,29163,38195,5670,60015,40602,6603
2021-12-01,12622,37230,12337,8720,16940,22259,252402,31138,6510,12031,50,45075,18431,51339,119482,18538,38499,108664,8009,143078,21194,60265,42604,58347,22869,30247,44202,28985,39550,6499,56087,38469,7630
